D,N,ranks,category,name,total_ms,percent
30,8388608,8,api,cudaLaunchKernel,5.3829,0.10
30,8388608,8,api,cudaEventRecord,0.9445,0.00
30,8388608,8,api,cudaEventCreate,0.2968,0.00
30,8388608,8,api,cuGetProcAddress_v2,0.1808,0.00
30,8388608,8,api,cudaEventDestroy,0.1625,0.00
30,8388608,8,api,cudaMemset,0.0092,0.00
30,8388608,8,api,cudaEventSynchronize,0.0063,0.00
30,8388608,8,api,cuModuleGetLoadingMode,0.0038,0.00
30,8388608,8,api,cuInit,0.0038,0.00
30,8388608,8,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",1436.4245,38.40
30,8388608,8,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1298.6960,34.70
30,8388608,8,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",908.9646,24.30
30,8388608,8,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",74.3241,2.00
30,8388608,8,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",12.6006,0.30
30,8388608,8,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,7.1037,0.20
30,8388608,8,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2533,0.00
30,8388608,8,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1669,0.00
30,8388608,8,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0015,0.00
30,8388608,16,api,cudaDeviceSynchronize,3730.6964,67.50
30,8388608,16,api,cudaMemcpy,1750.8359,31.70
30,8388608,16,api,cudaFree,19.5398,0.40
30,8388608,16,api,cudaMemcpyFromSymbol,13.4963,0.20
30,8388608,16,api,cudaLaunchKernel,5.3366,0.10
30,8388608,16,api,cudaMalloc,3.0284,0.10
30,8388608,16,api,cudaEventRecord,0.9799,0.00
30,8388608,16,api,cudaEventCreate,0.2584,0.00
30,8388608,16,api,cudaEventDestroy,0.1805,0.00
30,8388608,16,api,cuGetProcAddress_v2,0.1677,0.00
30,8388608,16,api,cudaMemset,0.0123,0.00
30,8388608,16,api,cudaEventSynchronize,0.0069,0.00
30,8388608,16,api,cuModuleGetLoadingMode,0.0045,0.00
30,8388608,16,api,cuInit,0.0044,0.00
30,8388608,16,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",1435.9912,38.50
30,8388608,16,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1297.5915,34.80
30,8388608,16,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",905.9682,24.30
30,8388608,16,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",74.3301,2.00
30,8388608,16,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",12.5892,0.30
30,8388608,16,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,7.0988,0.20
30,8388608,16,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2527,0.00
